UNK|-1
하|13642345
이|11623000
있|5759558
되|3968537
것|2821834
수|2276173
들|2203254
보|1579732
않|1542032
없|1512106
적|1490806
년|1442500
지|1334300
주|1330907
그|1141599
말|1055286
때문|1036804
때|1007790
아니|910671
등|885430
중|883856
가|837969
나오|818166
경우|805228
받|793236
1|768671
오|745978
크|726172
2|697839
보이|686578
같|678108
자신|652138
내|645126
사람|634242
사용|601564
이후|597472
많|595818
정도|594158
번|581530
쓰|579770
대하|575554
위하|559966
후|546128
일|540972
나|540472
3|513411
시|509227
만들|508302
좋|506614
가지|495958
공격|483446
위|483438
전|482200
알|477444
버리|469288
못하|465338
등장|455628
한|453162
명|444426
편|442736
안|442006
개|430584
사실|421778
게임|413804
타|412866
대|405904
하나|386080
리|385305
점|376784
4|374438
시작|367586
문제|356650
캐릭터|354784
모습|353276
만|348889
두|338262
높|337676
생각|334920
이상|329674
시간|326366
그렇|321398
.|317832
분류|315576
이름|314594
화|311828
따르|309658
자|305476
뒤|303064
더|298618
팀|298308
성|297504
능력|295786
살|295736
추가|293058
상대|292184
5|287585
상황|286472
시키|284691
듯|282754
당시|282246
죽|281892
가능|281554
%|279291
상태|275288
건|266880
스킬|263754
차|263714
다른|263077
존재|261932
치|259982
데|257454
걸|256748
게|255128
일본|254826
카|247673
하지만|244766
무기|244002
관련|243104
맞|242578
을|242564
그리고|238864
의|238180
카드|236544
통하|235354
곡|234018
여기|233710
세|232013
레벨|231140
자체|228176
드|228154
한국|227296
먹|224076
쿠|222440
남|222278
코|221742
문서|221500
얻|221124
잡|220480
아|220350
당하|218056
상|217514
사|217082
효과|216320
미|215777
이유|215756
시리즈|213208
뿐|209794
사건|208842
시즌|207202
판|207068
필요|206644
초|206001
틀|205982
제|205643
라고|205554
신|205338
트|204594
회|203748
인하|202838
길|202794
기술|202066
면|201964
이야기|201962
들어가|201688
처음|200698
동안|200556
목차|200052
경기|199084
부르|198106
원|197373
월|196478
전투|196018
거|195983
모르|194722
힘|194624
사이|194440
키|193288
부분|192456
다|192342
식|191390
작품|188878
놓|188760
다음|188160
해당|186566
6|186245
곳|185570
지역|185350
의하|184832
이것|184742
이용|184582
기본|183880
세계|182182
권|180654
10|179743
집|179378
그것|177762
인간|177440
내용|177052
호|175012
간|174438
달|174426
주인공|174106
인물|173556
늘|173297
진행|172910
강하|172846
다르|172654
바|171858
대부분|171778
로|170828
장|170826
팬|170622
입|170512
잘|169238
쉽|168760
싶|168006
나가|167694
함께|167088
부|167000
군|166570
미국|165914
일반|165732
급|164474
속|164160
현재|163916
또한|163817
분|162516
비하|162214
http|162032
떨어지|161350
선수|160930
자기|160612
외|160512
마|159176
모두|159018
생기|158902
앞|158832
수준|158788
항목|157622
가장|157023
마지막|156330
막|155874
마법|155822
파일|155206
유저|154736
7|153700
jpg|153669
검|153094
용|152153
비|152096
조|151442
기|151294
인|151294
작|151278
형|150569
본인|150148
달리|149722
채|149625
배|149562
8|149303
그녀|149254
레|149132
쪽|147950
알리|147734
결국|147574
단|147494
올리|147462
데미지|147250
디|146572
대신|146534
이렇|146260
만나|146196
설정|145902
0|145578
기록|144940
이전|144484
보스|144380
죽이|144146
다시|143427
기사|142694
르|142408
라|141938
활동|141828
아이템|141230
평가|141154
손|141046
증가|140826
역|140345
아이|139075
밝히|138884
어렵|138814
모든|138634
성공|138554
싸우|138140
제외|138032
물|137988
방송|137590
불|137344
서|137056
빠르|136504
참고|136452
영화|135892
지금|134492
시절|134476
플레이|134284
유닛|133942
일부|133730
발|132272
네|132256
낮|132144
왕|131935
넣|131648
어|131450
피|130555
의미|130472
눈|129788
멤버|129540
힘들|129374
우리|128988
상위|128976
둘|128936
언급|128914
피해|128822
선택|128756
많이|128538
찾|128466
관계|128286
너|128204
날|126675
방|126294
원래|125268
과거|125222
